yyyy,mm,tmax,tmin,af,rain,sun,whitby
degc,degc,days,mm,hours,whitby
1974,9,15.2,8.3,0,72.5,whitby
1974,10,10.1,5.3,1,---,whitby
1974,11,8.5,3.2,1,67.4,whitby
1974,12,10.0,4.4,0,27.1,whitby
1975,1,8.9,3.0,2,48.7,whitby
1975,2,6.6,1.4,6,14.9,whitby
1975,3,6.9,2.0,2,31.3,whitby
1975,4,10.4,4.1,2,39.1,whitby
1975,5,10.4,4.7,0,57.1,whitby
1975,6,16.1,8.3,0,31.0,whitby
1975,7,19.0,11.3,0,49.1,whitby
1975,8,20.5,12.3,0,22.2,whitby
1975,9,16.5,8.4,0,55.4,whitby
1975,10,12.7,6.1,0,27.2,whitby
1975,11,9.2,3.6,2,61.6,whitby
1975,12,8.5,3.3,2,40.1,whitby
1976,1,8.0,2.4,10,61.2,57.1$,whitby
1976,2,7.0,2.1,5,9.2,52.3$,whitby
1976,3,6.9,1.8,7,18.2,107.2$,whitby
1976,4,9.7,3.9,2,12.8,124.5$,whitby
1976,5,13.6,6.7,0,85.7,149.1$,whitby
1976,6,20.2,10.9,0,4.9,273.6$,whitby
1976,7,19.9,11.3,0,9.8,291.4$,whitby
1976,8,18.6,10.9,0,10.1,216.2$,whitby
1976,9,15.1,9.3,0,131.7,78.2$,whitby
1976,10,13.0,7.8,0,98.4,74.0$,whitby
1976,11,8.7,3.0,4,30.9,71.1$,whitby
1976,12,4.8,0.4,8,96.2,49.6$,whitby
1977,1,5.2,0.4,10,88.5,54.2$,whitby
1977,2,6.4,1.8,7,79.5,69.0$,whitby
1977,3,9.3,3.4,3,44.8,108.2$,whitby
1977,4,9.8,3.2,2,33.6,173.8$,whitby
1977,5,11.6,6.0,0,52.7,210.0$,whitby
1977,6,13.6,7.9,0,46.7,153.8$,whitby
1977,7,17.1,11.1,0,17.6,165.2$,whitby
1977,8,16.6,11.4,0,38.0,140.6$,whitby
1977,9,15.8,9.4,0,11.9,99.9$,whitby
1977,10,14.2,8.2,0,44.7,119.9$,whitby
1977,11,9.2,4.3,1,52.1,77.7$,whitby
1977,12,8.0,4.0,1,43.5,38.4$,whitby
1978,1,5.4,0.3,12,65.6,53.0$,whitby
1978,2,4.6,-0.7,16,64.4,47.4$,whitby
