yyyy,mm,tmax,tmin,af,rain,sun,eastbourne
degc,degc,days,mm,hours,eastbourne
1959,1,6.4,1.1,13,109.5,100.4,eastbourne
1959,2,6.6,2.0,4,0.0,73.4,eastbourne
1959,3,10.4,5.1,0,43.0,128.4,eastbourne
1959,4,12.7,7.3,0,62.5,163.5,eastbourne
1959,5,16.8,9.3,0,12.5,250.1,eastbourne
1959,6,18.9,11.9,0,23.2,296.0,eastbourne
1959,7,21.6,14.2,0,39.8,333.0,eastbourne
1959,8,21.8,14.8,0,25.7,246.4,eastbourne
1959,9,20.8,12.8,0,6.6,265.8,eastbourne
1959,10,16.8,10.7,0,106.8,171.7,eastbourne
1959,11,11.7,6.2,0,151.5,72.0,eastbourne
1959,12,10.0,5.1,1,196.7,32.2,eastbourne
1960,1,7.4,2.6,6,82.0,54.1,eastbourne
1960,2,7.8,2.7,6,52.6,103.0,eastbourne
1960,3,9.0,5.0,1,80.5,100.5,eastbourne
1960,4,12.7,5.9,0,35.7,185.9,eastbourne
1960,5,16.2,9.7,0,70.4,204.4,eastbourne
1960,6,18.9,12.4,0,59.1,257.3,eastbourne
1960,7,18.4,13.4,0,60.2,195.3,eastbourne
1960,8,19.4,13.4,0,148.8,225.7,eastbourne
1960,9,17.6,11.9,0,66.5,158.0,eastbourne
1960,10,14.3,9.9,0,179.5,122.1,eastbourne
1960,11,11.8,7.1,0,218.8,76.9,eastbourne
1960,12,7.6,3.5,1,125.3,46.9,eastbourne
1961,1,7.3,3.1,3,147.5,65.0,eastbourne
1961,2,9.4,5.6,0,66.7,85.9,eastbourne
1961,3,11.4,4.4,0,6.3,190.8,eastbourne
1961,4,13.1,8.6,0,60.8,134.3,eastbourne
1961,5,15.4,8.6,0,32.0,282.3,eastbourne
1961,6,18.4,11.6,0,32.7,299.1,eastbourne
1961,7,19.5,12.9,0,69.1,248.1,eastbourne
1961,8,19.8,14.0,0,17.2,211.9,eastbourne
1961,9,19.3,13.5,0,64.5,159.4,eastbourne
1961,10,15.5,10.1,0,111.8,153.4,eastbourne
1961,11,10.1,6.0,1,100.6,69.3,eastbourne
1961,12,7.6,2.7,12,104.1,78.8,eastbourne
1962,1,7.8,3.5,6,89.7,73.9,eastbourne
1962,2,7.3,2.4,4,18.6,87.2,eastbourne
1962,3,6.4,1.0,11,50.0,149.2,eastbourne
1962,4,10.7,5.3,0,48.6,153.3,eastbourne
1962,5,12.7,7.5,0,41.8,182.3,eastbourne
1962,6,16.7,9.7,0,12.8,290.1,eastbourne
1962,7,18.1,12.9,0,53.1,197.6,eastbourne
1962,8,18.4,13.1,0,105.5,223.9,eastbourne
1962,9,17.1,11.4,0,64.7,182.3,eastbourne
1962,10,15.3,9.4,0,51.8,151.8,eastbourne
1962,11,9.4,5.2,2,69.8,37.1,eastbourne
1962,12,6.3,1.0,14,97.9,116.5,eastbourne
1963,1,1.0,-2.8,26,12.5,72.8,eastbourne
1963,2,2.0,-1.3,18,19.5,94.2,eastbourne
1963,3,7.9,3.4,3,74.0,135.0,eastbourne
1963,4,10.8,5.4,0,89.9,152.7,eastbourne
1963,5,13.8,7.8,0,42.0,239.5,eastbourne
1963,6,17.4,12.0,0,87.2,221.3,eastbourne
1963,7,18.6,12.9,0,43.4,287.4,eastbourne
1963,8,18.1,13.0,0,103.7,185.7,eastbourne
1963,9,17.1,11.9,0,88.3,124.2,eastbourne
1963,10,14.4,9.9,0,67.1,80.7,eastbourne
1963,11,12.3,8.3,0,209.6,69.6,eastbourne
1963,12,5.7,1.4,11,20.4,58.7,eastbourne
1964,1,6.0,2.2,6,33.7,37.0,eastbourne
1964,2,6.8,3.3,3,37.6,73.9,eastbourne
1964,3,6.7,2.9,3,124.3,74.3,eastbourne
1964,4,10.7,5.8,1,76.1,169.5,eastbourne
1964,5,15.9,10.1,0,83.7,232.4,eastbourne
1964,6,17.3,11.9,0,85.3,223.9,eastbourne
1964,7,19.8,14.2,0,34.9,244.0,eastbourne
1964,8,20.2,14.1,0,43.7,224.1,eastbourne
1964,9,19.0,12.6,0,34.4,233.9,eastbourne
1964,10,13.5,6.9,0,100.6,152.6,eastbourne
1964,11,11.2,6.8,2,104.0,65.9,eastbourne
1964,12,7.5,2.5,7,76.0,42.7,eastbourne
1965,1,6.7,2.9,3,91.0,77.5,eastbourne
1965,2,5.8,1.6,4,9.7,59.7,eastbourne
1965,3,8.6,3.2,6,74.7,145.5,eastbourne
1965,4,11.6,5.4,0,37.0,160.0,eastbourne
1965,5,14.5,8.7,0,46.2,213.5,eastbourne
1965,6,16.9,11.0,0,66.9,213.7,eastbourne
1965,7,17.7,12.6,0,101.5,156.9,eastbourne
1965,8,19.0,13.5,0,75.7,220.8,eastbourne
1965,9,16.8,10.6,0,137.5,168.7,eastbourne
1965,10,15.3,9.9,0,14.4,165.0,eastbourne
1965,11,9.6,4.0,4,72.5,90.8,eastbourne
1965,12,9.3,4.0,4,140.1,63.5,eastbourne
1966,1,5.7,2.5,9,59.6,35.3,eastbourne
1966,2,8.9,5.5,0,105.7,35.8,eastbourne
1966,3,10.2,4.4,0,20.5,149.0,eastbourne
1966,4,11.3,6.5,0,98.8,121.4,eastbourne
1966,5,15.1,8.6,0,37.6,231.9,eastbourne
1966,6,18.9,12.5,0,52.7,260.6,eastbourne
1966,7,18.9,13.2,0,73.4,203.0,eastbourne
1966,8,19.3,12.8,0,70.3,244.8,eastbourne
1966,9,18.5,12.4,0,31.6,205.9,eastbourne
