yyyy,mm,tmax,tmin,af,rain,sun,chivenor
degc,degc,days,mm,hours,chivenor
1964,4,---,---,---,34.5,148.9,chivenor
1964,5,---,---,---,66.8,179.0,chivenor
1964,6,---,---,---,37.0,176.0,chivenor
1964,7,---,---,---,39.9,195.5,chivenor
1964,8,---,---,---,39.2,192.4,chivenor
1964,9,---,---,---,36.7,180.3,chivenor
1964,10,---,---,---,91.4,113.8,chivenor
1964,11,---,---,---,62.7,73.0,chivenor
1964,12,---,---,---,68.2,56.9,chivenor
1965,1,---,---,---,106.9,58.9,chivenor
1965,2,---,---,---,2.4,55.0,chivenor
1965,3,---,---,---,64.8,150.7,chivenor
1965,4,---,---,---,55.3,189.2,chivenor
1965,5,---,---,---,51.5,181.3,chivenor
1965,6,---,---,---,61.0,193.3,chivenor
1965,7,---,---,---,123.5,175.2,chivenor
1965,8,---,---,---,66.7,188.8,chivenor
1965,9,---,---,---,90.8,119.2,chivenor
1965,10,---,---,---,24.7,147.7,chivenor
1965,11,---,---,---,109.2,65.5,chivenor
1965,12,---,---,---,138.0,51.9,chivenor
1966,1,---,---,---,63.6,40.8,chivenor
1966,2,---,---,---,80.7,47.8,chivenor
1966,3,---,---,---,30.4,142.3,chivenor
1966,4,---,---,---,127.1,111.4,chivenor
1966,5,---,---,---,59.8,242.9,chivenor
1966,6,---,---,---,79.3,186.8,chivenor
1966,7,---,---,---,40.4,196.2,chivenor
1966,8,---,---,---,106.7,199.8,chivenor
1966,9,---,---,---,35.5,169.1,chivenor
1966,10,---,---,---,120.1,111.1,chivenor
1966,11,---,---,---,66.2,69.6,chivenor
1966,12,---,---,---,89.4,36.9,chivenor
1967,1,---,---,---,56.4,55.5,chivenor
1967,2,---,---,---,85.1,98.0,chivenor
1967,3,---,---,---,46.2,157.7,chivenor
1967,4,---,---,---,29.0,153.9,chivenor
1967,5,---,---,---,89.9,177.1,chivenor
1967,6,---,---,---,12.3,225.6,chivenor
1967,7,---,---,---,49.3,178.1,chivenor
1967,8,---,---,---,59.8,175.7,chivenor
1967,9,---,---,---,109.9,153.9,chivenor
1967,10,---,---,---,171.0,74.9,chivenor
1967,11,---,---,---,77.0,77.2,chivenor
1967,12,---,---,---,84.0,48.0,chivenor
1968,1,---,---,---,87.1,30.6,chivenor
1968,2,---,---,---,38.7,91.3,chivenor
1968,3,---,---,---,42.6,142.9,chivenor
1968,4,---,---,---,64.6,177.7,chivenor
1968,5,---,---,---,50.6,186.5,chivenor
1968,6,---,---,---,122.4,201.3,chivenor
1968,7,---,---,---,119.9,246.1,chivenor
1968,8,---,---,---,37.8,178.2,chivenor
1968,9,---,---,---,89.6,129.8,chivenor
1968,10,---,---,---,88.8,43.5,chivenor
1968,11,---,---,---,58.9,57.9,chivenor
1968,12,---,---,---,119.4,51.3,chivenor
1969,1,---,---,---,136.3,40.4,chivenor
1969,2,---,---,---,54.4,60.3,chivenor
1969,3,---,---,---,59.3,100.2,chivenor
1969,4,---,---,---,45.5,223.2,chivenor
1969,5,---,---,---,125.4,164.0,chivenor
1969,6,---,---,---,34.6,262.8,chivenor
1969,7,---,---,---,80.3,---,chivenor
1969,8,---,---,---,62.7,183.4,chivenor
1969,9,---,---,---,60.4,105.9,chivenor
1969,10,---,---,---,15.0,126.1,chivenor
1969,11,---,---,---,146.1,69.9,chivenor
1969,12,---,---,---,94.6,42.0,chivenor
1970,1,---,---,---,94.4,52.3,chivenor
1970,2,---,---,---,102.2,91.4,chivenor
1970,3,---,---,---,58.2,114.3,chivenor
1970,4,---,---,---,58.2,154.4,chivenor
1970,5,---,---,---,29.3,193.8,chivenor
1970,6,---,---,---,35.3,219.7,chivenor
1970,7,---,---,---,72.5,179.1,chivenor
1970,8,---,---,---,75.2,162.0,chivenor
1970,9,---,---,---,72.0,126.6,chivenor
1970,10,---,---,---,68.9,77.5,chivenor
1970,11,---,---,---,194.0,44.9,chivenor
1970,12,---,---,---,56.8,65.4,chivenor
1971,1,---,---,---,163.2,---,chivenor
1971,2,---,---,---,32.3,---,chivenor
1971,3,---,---,---,71.9,---,chivenor
1971,4,---,---,---,45.5,---,chivenor
1971,5,---,---,---,43.3,---,chivenor
1971,6,---,---,---,97.1,---,chivenor
1971,7,---,---,---,29.0,---,chivenor
1971,8,---,---,---,87.9,---,chivenor
1971,9,---,---,---,25.5,---,chivenor
1971,10,---,---,---,74.6,---,chivenor
1971,11,---,---,---,107.1,---,chivenor
1971,12,---,---,---,45.3,---,chivenor
1972,1,---,---,---,90.6,---,chivenor
1972,2,---,---,---,102.4,---,chivenor
1972,3,---,---,---,43.9,---,chivenor
1972,4,---,---,---,57.9,---,chivenor
1972,5,---,---,---,64.9,---,chivenor
1972,6,---,---,---,86.0,---,chivenor
1972,7,---,---,---,52.2,---,chivenor
1972,8,---,---,---,21.4,---,chivenor
1972,9,---,---,---,45.2,---,chivenor
1972,10,---,---,---,45.6,---,chivenor
1972,11,---,---,---,116.9,---,chivenor
1972,12,---,---,---,135.0,---,chivenor
1973,1,---,---,---,58.5,---,chivenor
1973,2,---,---,---,55.8,---,chivenor
1973,3,---,---,---,18.8,---,chivenor
1973,4,---,---,---,47.5,---,chivenor
1973,5,---,---,---,64.3,---,chivenor
1973,6,---,---,---,25.9,---,chivenor
1973,7,---,---,---,73.0,---,chivenor
1973,8,---,---,---,75.1,---,chivenor
1973,9,---,---,---,74.6,---,chivenor
1973,10,---,---,---,43.3,---,chivenor
1973,11,---,---,---,83.9,---,chivenor
1973,12,---,---,---,72.1,---,chivenor
1974,1,---,---,---,124.8,---,chivenor
1974,2,---,---,---,121.6,---,chivenor
1974,3,---,---,---,47.2,---,chivenor
1974,4,---,---,---,20.5,---,chivenor
1974,5,---,---,---,39.0,---,chivenor
1974,6,---,---,---,61.2,---,chivenor
1974,7,---,---,---,48.5,---,chivenor
1974,8,---,---,---,115.6,---,chivenor
1974,9,---,---,---,---,---,chivenor
1974,10,---,---,---,---,---,chivenor
1974,11,---,---,---,---,---,chivenor
1974,12,---,---,---,---,---,chivenor
1980,1,---,---,---,---,---,chivenor
1980,2,---,---,---,---,---,chivenor
1980,3,---,---,---,---,---,chivenor
1980,4,---,---,---,---,---,chivenor
1980,5,---,---,---,---,---,chivenor
1980,6,---,---,---,---,---,chivenor
1980,7,---,---,---,---,---,chivenor
1980,8,---,---,---,58.0,---,chivenor
1980,9,---,---,---,102.2,---,chivenor
1980,10,---,---,---,133.5,---,chivenor
1980,11,---,---,---,85.5,---,chivenor
1980,12,---,---,---,66.8,---,chivenor
1981,1,---,---,---,52.7,---,chivenor
1981,2,---,---,---,35.9,---,chivenor
1981,3,---,---,---,128.3,---,chivenor
1981,4,---,---,---,56.9,---,chivenor
1981,5,---,---,---,97.5,---,chivenor
1981,6,---,---,---,29.3,---,chivenor
1981,7,---,---,---,62.4,---,chivenor
1981,8,---,---,---,19.9,---,chivenor
1981,9,---,---,---,139.7,---,chivenor
1981,10,---,---,---,178.8,---,chivenor
1981,11,---,---,---,44.1,---,chivenor
1981,12,---,---,---,108.2,---,chivenor
1982,1,---,---,---,97.2,---,chivenor
1982,2,---,---,---,63.8,---,chivenor
1982,3,---,---,---,94.1,---,chivenor
1982,4,---,---,---,20.4,---,chivenor
1982,5,---,---,---,27.5,---,chivenor
1982,6,---,---,---,93.3,---,chivenor
1982,7,---,---,---,45.1,---,chivenor
1982,8,---,---,---,60.1,---,chivenor
1982,9,---,---,---,68.1,---,chivenor
1982,10,---,---,---,112.8,---,chivenor
1982,11,---,---,---,140.6,---,chivenor
1982,12,---,---,---,147.6,---,chivenor
1983,1,---,---,---,117.1,---,chivenor
1983,2,---,---,---,23.5,---,chivenor
1983,3,---,---,---,53.1,---,chivenor
1983,4,---,---,---,74.3,---,chivenor
1983,5,---,---,---,111.5,---,chivenor
1983,6,---,---,---,34.0,---,chivenor
1983,7,---,---,---,18.4,---,chivenor
1983,8,---,---,---,68.3,---,chivenor
1983,9,---,---,---,93.3,---,chivenor
1983,10,---,---,---,84.5,---,chivenor
1983,11,---,---,---,46.7,---,chivenor
1983,12,---,---,---,108.2,---,chivenor
1984,1,---,---,---,132.2,---,chivenor
1984,2,---,---,---,59.2,---,chivenor
1984,3,---,---,---,28.4,---,chivenor
1984,4,---,---,---,4.9,---,chivenor
1984,5,---,---,---,47.8,---,chivenor
1984,6,---,---,---,26.5,---,chivenor
1984,7,---,---,---,15.6,---,chivenor
1984,8,---,---,---,54.7,---,chivenor
1984,9,---,---,---,141.0,---,chivenor
1984,10,---,---,---,90.7,---,chivenor
1984,11,---,---,---,164.0,---,chivenor
1984,12,---,---,---,113.3,---,chivenor
1985,1,---,---,---,67.7,---,chivenor
1985,2,---,---,---,35.8,---,chivenor
1985,3,---,---,---,64.1,---,chivenor
1985,4,---,---,---,80.2,---,chivenor
1985,5,---,---,---,52.6,---,chivenor
1985,6,---,---,---,95.7,---,chivenor
1985,7,---,---,---,50.6,---,chivenor
1985,8,---,---,---,134.0,---,chivenor
1985,9,---,---,---,60.8,---,chivenor
1985,10,---,---,---,54.6,---,chivenor
1985,11,---,---,---,52.5,---,chivenor
1985,12,---,---,---,114.7,---,chivenor
1986,1,---,---,---,83.8,---,chivenor
1986,2,---,---,---,1.1,---,chivenor
1986,3,---,---,---,56.2,---,chivenor
1986,4,9.6,3.6,1,76.3,---,chivenor
1986,5,14.8,7.9,0,53.4,---,chivenor
1986,6,19.1,11.2,0,84.6,---,chivenor
1986,7,18.9,12.6,0,38.6,---,chivenor
1986,8,17.3,11.1,0,146.5,---,chivenor
1986,9,16.1,8.1,0,22.8,---,chivenor
1986,10,15.6,9.0,0,98.5,---,chivenor
1986,11,12.2,5.4,2,120.3,---,chivenor
1986,12,10.9,5.0,0,141.7,---,chivenor
1987,1,5.0,0.3,13,19.1,---,chivenor
1987,2,8.2,2.2,8,61.7,---,chivenor
1987,3,9.1,2.8,7,86.1,---,chivenor
1987,4,14.9,6.5,0,50.9,---,chivenor
1987,5,15.1,7.2,0,45.9,---,chivenor
1987,6,16.7,10.4,0,71.1,---,chivenor
1987,7,20.4,12.7,0,38.6,---,chivenor
1987,8,20.4,12.6,0,38.7,---,chivenor
1987,9,18.5,10.9,0,65.7,---,chivenor
1987,10,14.4,7.6,1,164.1,---,chivenor
1987,11,11.0,5.2,3,108.1,---,chivenor
1987,12,9.4,4.9,3,57.9,---,chivenor
1988,1,10.2,4.6,2,159.0,---,chivenor
1988,2,9.5,3.2,2,71.5,---,chivenor
1988,3,10.3,5.4,2,100.7,---,chivenor
1988,4,13.4,5.0,2,37.3,---,chivenor
1988,5,16.3,7.7,0,51.8,---,chivenor
1988,6,19.6,11.5,0,74.6,---,chivenor
1988,7,17.7,12.2,0,117.7,---,chivenor
1988,8,19.0,12.0,0,98.3,---,chivenor
1988,9,17.3,11.2,0,54.8,---,chivenor
1988,10,15.0,8.7,0,94.1,---,chivenor
1988,11,11.4,3.7,5,47.3,---,chivenor
1988,12,10.9,6.8,2,56.4,---,chivenor
1989,1,10.4,4.2,5,40.3,---,chivenor
1989,2,10.6,3.8,2,97.8,---,chivenor
1989,3,11.6,5.0,1,80.1,---,chivenor
1989,4,11.4,3.0,2,67.2,---,chivenor
1989,5,19.6,9.5,0,10.8,---,chivenor
1989,6,19.9,10.4,0,36.2,---,chivenor
1989,7,23.1,14.0,0,36.6,---,chivenor
1989,8,21.4,13.0,0,50.9,---,chivenor
1989,9,19.3,11.4,0,119.7,---,chivenor
1989,10,16.2,10.3,0,113.4,---,chivenor
1989,11,11.7,5.3,6,69.8,---,chivenor
1989,12,9.7,2.8,8,140.0,---,chivenor
1990,1,10.9,5.2,0,132.9,---,chivenor
1990,2,11.8,5.6,0,141.9,---,chivenor
1990,3,12.4,5.6,2,19.9,---,chivenor
1990,4,13.2,4.4,4,45.7,---,chivenor
1990,5,18.9,8.6,0,32.1,---,chivenor
1990,6,17.4,10.6,0,59.7,---,chivenor
1990,7,22.6,12.6,0,35.2,---,chivenor
1990,8,21.9,14.3,0,59.8,---,chivenor
1990,9,18.3,9.7,0,77.8,---,chivenor
1990,10,16.1,10.2,0,135.2,---,chivenor
1990,11,11.2,5.3,2,74.2,---,chivenor
1990,12,8.7,2.6,6,110.4,---,chivenor
1991,1,7.7,1.8,9,119.8,---,chivenor
1991,2,6.8,-1.1,17,54.5,---,chivenor
1991,3,11.9,5.3,2,65.4,---,chivenor
1991,4,12.6,4.7,1,99.7,---,chivenor
1991,5,15.4,8.4,0,8.7,---,chivenor
1991,6,16.5,9.6,0,107.8,---,chivenor
1991,7,20.3,13.5,0,65.9,---,chivenor
1991,8,21.0,12.8,0,21.8,---,chivenor
1991,9,20.4,11.4,0,83.6,---,chivenor
1991,10,14.3,7.9,0,96.0,---,chivenor
1991,11,11.1,5.2,2,91.8,---,chivenor
1991,12,9.0,3.6,4,39.3,---,chivenor
1992,1,7.8,1.1,16,51.4,---,chivenor
1992,2,9.8,3.3,5,45.9,---,chivenor
1992,3,11.0,5.4,1,50.3,---,chivenor
1992,4,12.8,5.6,1,65.4,---,chivenor
1992,5,18.6,9.2,0,30.0,---,chivenor
1992,6,21.0,11.0,0,21.1,---,chivenor
1992,7,20.4,13.3,0,95.0,---,chivenor
1992,8,19.0,12.3,0,127.7,---,chivenor
1992,9,17.3,10.8,0,55.0,---,chivenor
1992,10,12.4,6.1,2,103.3,---,chivenor
1992,11,12.3,6.1,1,148.8,---,chivenor
1992,12,8.4,3.1,8,68.7,---,chivenor
1993,1,10.7,4.7,3,119.6,---,chivenor
1993,2,8.5,4.0,1,14.8,---,chivenor
1993,3,11.0,3.8,6,21.2,---,chivenor
1993,4,13.4,7.0,0,39.1,---,chivenor
1993,5,16.0,8.0,0,69.4,---,chivenor
1993,6,19.1,11.2,0,179.7,---,chivenor
1993,7,18.7,12.7,0,125.6,---,chivenor
1993,8,19.3,11.5,0,37.5,---,chivenor
1993,9,17.5,9.5,0,78.9,---,chivenor
1993,10,12.9,5.8,2,120.4,---,chivenor
1993,11,10.0,3.6,5,74.2,---,chivenor
1993,12,10.1,5.1,3,163.2,---,chivenor
1994,1,9.6,4.3,2,125.4,---,chivenor
1994,2,8.8,2.2,8,101.9,---,chivenor
1994,3,11.3,6.3,1,96.4,---,chivenor
1994,4,12.4,5.7,1,71.2,---,chivenor
1994,5,15.4,7.7,0,46.4,---,chivenor
1994,6,18.0,10.5,0,29.6,---,chivenor
1994,7,21.7,13.0,0,40.6,---,chivenor
1994,8,20.2,13.1,0,92.4,---,chivenor
1994,9,16.8,11.3,0,113.0,---,chivenor
1994,10,15.7,8.1,0,111.5,---,chivenor
1994,11,13.8,9.7,0,90.4,---,chivenor
1994,12,11.6,---,---,157.6,---,chivenor
1995,1,---,---,---,157.2,---,chivenor
1995,2,10.6,---,---,98.8,---,chivenor
1995,3,---,---,---,64.6,---,chivenor
1995,4,---,---,---,---,---,chivenor
1995,5,---,---,---,49.2,---,chivenor
1995,6,19.3,10.9,0,11.4,---,chivenor
1995,7,22.8,14.3,0,75.0,---,chivenor
1995,8,25.0,14.5,0,16.8,---,chivenor
1995,9,18.5,11.4,0,97.0,---,chivenor
1995,10,17.3,---,---,71.6,---,chivenor
1995,11,12.5,5.6,4,86.0,---,chivenor
1995,12,---,---,---,84.2,---,chivenor
1996,1,8.3,4.3,3,56.4,---,chivenor
1996,2,7.8,1.2,11,67.0,---,chivenor
1996,3,9.7,3.1,3,46.6,---,chivenor
1996,4,12.8,5.6,4,79.0,---,chivenor
1996,5,14.3,6.2,0,85.2,---,chivenor
1996,6,18.5,10.0,0,33.4,---,chivenor
1996,7,20.5,12.6,0,28.6,---,chivenor
1996,8,20.7,13.0,0,65.2,---,chivenor
1996,9,18.8,10.8,0,31.0,---,chivenor
1996,10,15.7,10.6,0,100.6,---,chivenor
1996,11,11.0,5.0,2,125.2,---,chivenor
1996,12,---,---,---,35.2,---,chivenor
1997,1,6.4,1.4,11,11.4,---,chivenor
1997,2,10.8,4.8,2,89.2,---,chivenor
1997,3,12.4,5.8,1,24.6,---,chivenor
1997,4,14.5,5.1,0,20.2,---,chivenor
1997,5,17.3,8.2,0,63.6,---,chivenor
1997,6,18.2,11.6,0,101.6,---,chivenor
1997,7,20.4,12.7,0,39.0,---,chivenor
